id,language,problem_id,code
s752993784,Python,unknown,"s = list(input())
mods = [0]*(len(s))
countRemainder = [0] * 2019
cnt = 0


m = 1
mod = 0
for i in range(len(s)):
    mod += int(s[len(s) - i - 1]) * m

    mod %= 2019
    m *= 10
    m %= 2019

    countRemainder[mod] += 1

countRemainder[0] += 1

for i in range(2019):
    cnt += int(countRemainder[i] * (countRemainder[i] - 1) / 2)

print(cnt)
"
s199418121,Python,unknown,"A, B = input().split()
A = int(A)
B = int(B.replace(""."", """"))
print(A * B // 100)
"
s537584449,Python,unknown,"a = int(input())


def func(a):
    digits = []
    temp = a
    while temp != 0:
        digits.append(temp % 10)
        temp = int(temp/10)
    result = sum(digits)
    if result == 1:
        print('10')
    else:
        print(result)


func(a)
"
s043545989,Python,unknown,"import collections
N = int(input())
a = list(map(int, input().split()))
B = collections.Counter(a)
k = list(B.keys())
v = list(B.values())

if len(B) == 3 and k[0] ^ k[1] ^ k[2] == 0 and v[0] == v[1] == v[2]:
    print(""Yes"")
elif len(B) == 2 and 0 in k and (v[0] == 2*v[1] or v[1] == 2*v[0]):
    print(""Yes"")
elif len(B) == 1 and 0 in k:
    print(""Yes"")
else:
    print(""No"")
"
s609392609,Python,unknown,"n = int(input())
t = list(map(int, input().split()))
m = int(input())
for i in range(m):
    p, x = map(int, input().split())
    s = 0
    for j in range(len(t)):
        if j == p-1:
            s += x
        else:
            s += t[j]
    print(s)
"
s310981504,Python,unknown,"a, b = map(int, input().split())

if a <= b:
    print(a)
else:
    print(a-1)
"
s419623944,Python,unknown,"N, R = map(int, input().split())
if N >= 10:
    print(R)
else:
    print(R+100*(10-N))
"
s546174362,Python,unknown,"N, M = map(int, input().split())
*A, = map(int, input().split())
A = sorted(A)

while M:
    A[-1] //= 2
    M -= 1
    i = -2
    while M and (-N <= i and A[i] >= A[-1]):
        A[i] //= 2
        M -= 1
        i -= 1
    A.sort()

print(sum(A))
"
s908812767,Python,unknown,"import sys
sys.setrecursionlimit(100000)


def dfs(i):
    for v, w in V.get(i, []):
        if (w % 2) == 0:
            if color[v] == -1:
                color[v] = color[i]
            elif color[v] == color[i]:
                continue
            elif color[v] != color[i]:
                return False
        else:
            if color[v] == -1:
                color[v] = 0 if color[i] else 1
            elif color[v] == color[i]:
                return False
            elif color[v] != color[i]:
                continue
        dfs(v)
    return True


if __name__ == '__main__':
    n = int(input())
    V = {}
    color = {}
    for i in range(1, n):
        u, v, w = map(int, input().split())
        if not V.get(u, False):
            V[u] = [[v, w]]
        else:
            V[u].append([v, w])

        if not V.get(v, False):
            V[v] = [[u, w]]
        else:
            V[v].append([u, w])

    for i in range(1, n+1):
        color[i] = -1

    while True:
        i = 0
        for j in range(1, n+1):
            if color[j] == -1:
                i = j
                color[i] = 0
                break
        if i == 0:
            for j in range(1, n+1):
                print(color[j])
            break
        else:
            if not dfs(i):
                print('No')
                break
"
s251858505,Python,unknown,"print(sum(map(lambda x, y: x == y, input(), input())))
"
s504709360,Python,unknown,"s = input()
if len(s) < 26:
    for i in range(26):
        c = chr(ord(""a"")+i)
        if c not in s:
            print(s+c)
            exit()
else:
    for i in reversed(range(1, 26)):
        if s[i-1] < s[i]:
            s1 = s[0:i-1]
            for j in range(26):
                c = chr(ord(""a"")+j)
                if c > s[i-1] and c not in s1:
                    print(s1+c)
                    exit()
    print(-1)
"
s785944322,Python,unknown,"import sys
input = sys.stdin.readline

a, b = map(int, input().split())

if a >= 13:
    print(b)
elif a >= 6:
    print(int(b/2))
else:
    print(0)
"
s170274782,Python,unknown,"N = int(input())
A = []
for _ in range(2):
    s = list(map(int, input().split()))
    A.append(s)


ans = []

count = 0
for i in range(N):
    baselis = A[0]
    groundlis = A[1]
    count = 0
    count = count + sum(baselis[0:i+1]) + sum(groundlis[i:N+1])
    ans.append(count)

print(max(ans))
"
s662673721,Python,unknown,"import sys
input = sys.stdin.readline

n = int(input())

ans = 10 ** 18

for i in range(1, int(n ** (1 / 2)) + 2):
    if n % i != 0:
        continue
    j = n // i
    ans = min(ans, i + j - 2)

print(ans)
"
s539244923,Python,unknown,"n, k = map(int, input().split())
print(n+k if k % n == 0 else k-n)
"
s790754864,Python,unknown,"import math
N, K = (int(x) for x in input().split())
R = N - K
mod = 10**9 + 7


def fact(n, r):
    return math.factorial(n) // (math.factorial(n - r) * math.factorial(r))


for i in range(1, K+1):
    if N - K + 1 < i:
        ans = 0
    else:
        ans = fact(R+1, i)*fact(K-1, i-1)
    print(int(ans) % mod)
"
s636719275,Python,unknown,"s = input()
t = input()


def check(a, b):
    s = 0
    for i, j in zip(a, b):
        s += i != j
    return s


ans = 10**6
for i in range(len(s)):
    a = s[i:]
    if len(a) >= len(t):
        ans = min(ans, check(t, a[:len(t)]))
print(ans)
"
s240532461,Python,unknown,"N, L = map(int, input().split())
aji = []
for i in range(1, N+1):
    aji.append(L+i-1)
if min(aji) >= 0:
    aji.pop(aji.index(min(aji)))
elif max(aji) <= 0:
    aji.pop(aji.index(max(aji)))
else:
    aji.pop(aji.index(min(aji, key=abs)))
print(sum(aji))
"
s828550015,Python,unknown,"x, y, a, b, c = map(int, input().split())
p = sorted([int(i) for i in input().split()], reverse=True)[:x]
q = sorted([int(i) for i in input().split()], reverse=True)[:y]
r = sorted([int(i) for i in input().split()], reverse=True)
pq = sorted(p+q)
for i in range(min(x+y, a+b, c)):
    if pq[i] < r[i]:
        pq[i] = r[i]
print(sum(pq))
"
s225615697,Python,unknown,"n = int(input())
a = list(map(int, input().split()))

m1 = int(sum([a[i] * ((-1)**i) for i in range(n)]) / 2)

result = str(m1)

m = [None] * n
m[0] = m1
for i in range(1, n):
    m[i] = a[i-1] - m[i-1]

print(' '.join([str(x*2) for x in m]))
"
s846046431,Python,unknown,"import sys
N, M = map(int, sys.stdin.readline().split())
A = list(map(int, sys.stdin.readline().split()))
A.sort(reverse=True)
S = sum(A)
for a in A[:M]:
    if a/S - 1/(4*M) < 0:
        print('No')
        break
else:
    print('Yes')
"
s462546732,Python,unknown,"a, b = input().split("" "")
a = int(a)
b = int(b)
if a <= b:
    print(a)
else:
    print(a-1)
"
s131946120,Python,unknown,"n = int(input())
print(len(set([input() for _ in range(n)])))
"
s016605598,Python,unknown,"import heapq
const = 0
left = []
right = []

q = int(input())
cnt = 0
left_sum = 0
right_sum = 0
for _ in range(q):
    t = list(map(int, input().split()))
    if t[0] == 1:

        a, b = t[1:]
        const += b
        if cnt % 2 == 0:
            if not right:
                heapq.heappush(left, -a)
                left_sum += a
                cnt += 1

                continue

            c = heapq.heappop(right)
            right_sum -= c
            if a <= c:
                heapq.heappush(left, -a)
                heapq.heappush(right, c)
                left_sum += a
                right_sum += c
            else:
                heapq.heappush(left, -c)
                heapq.heappush(right, a)
                left_sum += c
                right_sum += a
        else:
            c = heapq.heappop(left)
            left_sum += c
            if a <= -c:
                heapq.heappush(left, -a)
                heapq.heappush(right, -c)
                left_sum += a
                right_sum -= c
            else:
                heapq.heappush(left, c)
                heapq.heappush(right, a)
                left_sum -= c
                right_sum += a
        cnt += 1

    else:
        tmp = -left[0]
        print(tmp, const - left_sum + right_sum + tmp * (cnt % 2))
"
s441028271,Python,unknown,"(a, b, c, k) = list(map(int, input().split()))
if k % 2 == 0:
    print(a-b)
else:
    print(b-a)
"
s269975433,Python,unknown,"from itertools import combinations_with_replacement
import sys


def LI(): return map(int, sys.stdin.readline().rstrip().split())


N, M, Q = LI()

Q_groups = []
for _ in range(Q):
    Q_groups.append([*LI()])

max_score = 0
for p in combinations_with_replacement(range(1, M + 1), r=N):
    temp_score = 0
    for q in Q_groups:
        if p[q[1] - 1] - p[q[0] - 1] == q[2]:
            temp_score += q[3]
    max_score = max(max_score, temp_score)

print(max_score)
"
s949655009,Python,unknown,"strn = input()
n = int(strn)
shichigolist = [""3"", ""5"", ""7""]
shichigo = [[] for _ in range(len(strn))]
for i in range(len(strn)):
    if i == 0:
        for j in shichigolist:
            shichigo[i].append(j)
    else:
        for j in shichigo[i-1]:
            for k in shichigolist:
                shichigo[i].append(j+k)
target = len(strn)-1
for i in range(len(strn)):
    for j in shichigo[i][:]:
        if i == target:
            if int(j) > n:
                shichigo[target].remove(j)
            elif j.count(""3"") == 0 or j.count(""5"") == 0 or j.count(""7"") == 0:
                shichigo[target].remove(j)
        else:
            if j.count(""3"") == 0 or j.count(""5"") == 0 or j.count(""7"") == 0:
                shichigo[i].remove(j)

print(sum([len(shichigo[i]) for i in range(len(strn))]))
"
s316832655,Python,unknown,"a, b, c = map(int, input().split())
print(int((a*b)/2))
"
s103029464,Python,unknown,"N = int(input())
A = list(map(int, input().split()))
B = [0] * N

for i in range(N - 1, -1, -1):
    tmp_sum = 0
    for j in range((i + 1) * 2 - 1, N, i + 1):
        tmp_sum += B[j]
        tmp_sum %= 2
    B[i] = tmp_sum ^ A[i]

print(sum(B))
print(*[i + 1 for i, b in enumerate(B) if b == 1])
"
s759547301,Python,unknown,"S = input()

if S == 'Sunny':
    print('Cloudy')

if S == 'Cloudy':
    print('Rainy')

if S == 'Rainy':
    print('Sunny')
"
s961772658,Python,unknown,"s = input()
alphabets = [""a"", ""b"", ""c"", ""d"", ""e"", ""f"", ""g"", ""h"", ""i"", ""j"", ""k"", ""l"",
             ""m"", ""n"", ""o"", ""p"", ""q"", ""r"", ""s"", ""t"", ""u"", ""v"", ""w"", ""x"", ""y"", ""z""]
for i in range(len(alphabets)):
    if alphabets[i] == s:
        print(alphabets[i+1])
"
s018260659,Python,unknown,"N = int(input())
cnt = 1
while cnt <= 9:
    if N % cnt == 0 and 1 <= N/cnt <= 9:
        print('Yes')
        break
    else:
        cnt += 1
else:
    print('No')
"
s826716211,Python,unknown,"import copy


def solve():
    S_d = list(input())
    T = list(input())

    end = len(S_d) - 1
    first = end - len(T) + 1
    while first >= 0:
        t_i = 0
        for s_i in range(first, end+1):
            if T[t_i] != S_d[s_i] and S_d[s_i] != '?':
                break
            t_i += 1
        else:
            break

        first -= 1
        end -= 1

    else:
        print('UNRESTORABLE')
        exit(0)

    ans = copy.deepcopy(S_d)
    t_i = 0
    for i in range(first, end+1):
        ans[i] = T[t_i]
        t_i += 1

    ans = ''.join(ans).replace('?', 'a')
    print(ans)


if __name__ == '__main__':
    solve()
"
s353603279,Python,unknown,"X = int(input())
h = X // 500
a = (X % 500) // 5
y = h * 1000 + a * 5
print(y)
"
s663509070,Python,unknown,"import math
N, D = map(int, input().split())
mat = []
for d in range(N):
    mat.append([int(x) for x in input().split()])

c = 0
for i in range(len(mat)-1):
    for j in range(i+1, len(mat)):
        dist = math.sqrt(sum([(x-y)**2 for x, y in zip(mat[i], mat[j])]))
        if int(dist) == dist:
            c += 1
print(c)
"
s000375264,Python,unknown,"X, t = map(int, input().split())

if X > t:
    answer = X - t
elif X <= t:
    answer = 0

print(answer)
"
s522872163,Python,unknown,"X, A = list(map(int, input().split()))
if X < A:
    print(0)
else:
    print(10)
"
s997947249,Python,unknown,"N, K = map(int, input().split())
if N % K == 0:
    print(0)
else:
    print(1)
"
s451465602,Python,unknown,"n = int(input())
h = int(n / 3600)
n %= 3600
m = int(n / 60)
n %= 60
s = int(n)
print(str(h) + "":"" + str(m) + "":"" + str(s))
"
s760938927,Python,unknown,"h, w, ka = map(int, input().split())
mat = [list(input()) for i in range(h)]
ans = 0
for i in range(2**(h+w)):
    b = bin(i)[2:].zfill(h+w)
    rs = b[:h]
    cs = b[h:]
    ct = 0
    for l in range(h):
        for k in range(w):
            if mat[l][k] == '#' and rs[l] == '0' and cs[k] == '0':
                ct += 1
    if ct == ka:
        ans += 1
print(ans)
"
s621701371,Python,unknown,"s = input()
q = int(input())
qs = [input().split() for i in range(q)]
n = False
left = right = """"
for operation in qs:
    if operation[0] == '1':
        n = not n
    if operation[0] == '2':
        t, f, c = operation
        f = int(f)
        if n:
            f = 1 if f != 1 else 2
        if f == 1:
            left = c+left
        elif f == 2:
            right += c
s = left+s+right
print(s[::-1] if n else s)
"
s875904659,Python,unknown,"def bubbleSort(cards):
    n = len(cards)
    for i in range(0, n):
        for j in range(n-1, i, -1):
            if int(cards[j][1]) < int(cards[j-1][1]):
                cards[j], cards[j-1] = cards[j-1], cards[j]

    print("" "".join(map(str, cards)))


def selectionSort(cards):
    n = len(cards)
    for i in range(0, n):
        mini = i
        for j in range(i, n):
            if int(cards[j][1]) < int(cards[mini][1]):
                mini = j
        if mini != i:
            cards[i], cards[mini] = cards[mini], cards[i]

    print("" "".join(map(str, cards)))


n = int(input())
cards = input().split("" "")
cards2 = list(cards)
bubbleSort(cards)
print(""Stable"")
selectionSort(cards2)
if "" "".join(map(str, cards2)) == "" "".join(map(str, cards)):
    print(""Stable"")
else:
    print(""Not stable"")
"
s706119740,Python,unknown,"candy = sorted(map(int, input().split()))
print(""Yes"" if candy[0]+candy[1] == candy[2] else ""No"")
"
s636592395,Python,unknown,"N = int(input())
A = list(map(int, input().split()))


def main():
    A.sort()
    ans = A[-1] - A[0]
    print(ans)


if __name__ == ""__main__"":
    main()
"
s137613418,Python,unknown,"import sys
import math

from collections import defaultdict
from collections import deque


def load(vtype=int):
    return vtype(input().strip())


def load_list(seplator="" "", vtype=int):
    return [vtype(v) for v in input().strip().split(seplator)]


def exit():
    import sys
    sys.exit(0)


def perm_sub(li, used):
    if len(li) == len(used):
        return [deque()]
    k = []
    for i in range(len(li)):
        if i in used:
            continue
        used.add(i)
        sub_list = perm_sub(li, used)
        for sub in sub_list:
            sub.appendleft(li[i])
        k.extend(sub_list)
        used.discard(i)
    return k


def perm_li(li):
    return perm_sub(li, set())


def perm_n(n):
    return perm_sub(list(range(n)), set())


def join_i(li, sep=""""):
    return sep.join([str(e) for e in li])


def li2n(li):
    n, base = 0, 1
    for i in range(len(li)-1, -1, -1):
        n += li[i] * base
        base *= 10
    return n


def sli2ili(li):
    return [int(s) for s in li]


def prime_list(n):
    li = [i for i in range(2, n+1)]
    for i in range(len(li)):
        if li[i] >= int(math.sqrt(n)):
            break
        if li[i] == -1:
            continue
        for j in range(i+1, len(li)):
            if li[j] % li[i] == 0:
                li[j] = -1
    return [n for n in li if n != -1]


def gcd(a, b):
    a, b = max(a, b), min(a, b)
    while True:
        r = a % b
        if r == 0:
            return b
        a, b = b, r


def lcm(a, b):
    return int(a * b / gcd(a, b))


def all_subset(li):
    s = []
    n = len(li)
    for bit in range(0, (1 << (n+1))):
        ss = set()
        for i in range(0, n):
            if (bit & (1 << i)):
                ss.add(li[i])
        s.append(ss)
    return s


def factorial(n):
    if n == 1:
        return 1
    return n * factorial(n-1)


def mCn(m, n):
    def factorial_ntimes(m, n):
        r = 1
        while n:
            r *= m
            m -= 1
            n -= 1
        return r
    return int(factorial_ntimes(m, n) / factorial(n))


n = load()
A = load_list()

if n == len(set(A)):
    print('YES')
else:
    print('NO')
"
s028530838,Python,unknown,"x = input()
if x.islower():
    print(""a"")
else:
    print(""A"")
"
s273727373,Python,unknown,"N = int(input())
A = list(map(int, input().split()))
B = list(A)
count = 1
for i in A:
    B[i-1] = count
    count += 1


print(*B)
"
s404600540,Python,unknown,"def main():
    q, h, s, d = map(int, input().split())
    n = int(input())
    min_1 = min(q*4, h*2, q*2+h, s)
    min_2 = min(min_1*2, d)

    print((n % 2)*min_1 + (n // 2)*min_2)


if __name__ == '__main__':
    main()
"
s922746568,Python,unknown,"n = int(input())
s = input()

r_cnt = s.count('R')
g_cnt = s.count('G')
b_cnt = s.count('B')

ans = r_cnt * g_cnt * b_cnt

for i in range(n):
    for d in range(n):
        j = i + d
        k = j + d
        if k >= n:
            break

        if s[i] != s[j] and s[j] != s[k] and s[k] != s[i]:

            ans -= 1
print(ans)
"
s267172486,Python,unknown,"h, a = map(int, input().strip().split())

ans = h // a
ama = h % a

if ama != 0:
    ans += 1
print(ans)
"
s616346400,Python,unknown,"def atc_079a(input_value: str) -> str:
    n = 3
    for i in range(0, len(input_value) + 1 - n):
        for j in range(1, n):
            if input_value[i] != input_value[i + j]:
                break
            if j == n - 1:
                return ""Yes""
    return ""No""


input_value = input()
print(atc_079a(input_value))
"
s430322735,Python,unknown,"n = int(input())
lst = []
pair = 0
for i in range(n):
    st = ''.join(sorted(list(input())))
    lst.append(st)
lst = sorted(lst)
lst += ['end']
pre = ''
tmp_cnt = 0
cnt = 0
for i in lst:
    if i == pre:
        tmp_cnt += 1
    else:
        cnt += sum([j for j in range(tmp_cnt + 1)])
        tmp_cnt = 0
    pre = i
print(cnt)
"
s761121328,Python,unknown,"N = int(input())
A = list(map(int, input().split()))
s = A[0] ^ A[1]
for i in range(2, N):
    s = s ^ A[i]

B = [0]*N
for i in range(N):
    B[i] = s ^ A[i]

L = [str(a) for a in B]
L = "" "".join(L)
print(L)
"
s031917494,Python,unknown,"print('Christmas'+' Eve'*abs(int(input())-25))
"
s952264435,Python,unknown,"N, M = map(int, input().split())
A = map(int, input().split())
A_sum = sum(A)

print(N - A_sum if N - A_sum >= 0 else ""-1"")
"
s986062252,Python,unknown,"from sys import stdin
def il(func=int): return list(map(func, stdin.readline().rstrip().split()))


ils = lambda n, s=""int(input())"": [eval(s) for _ in range(n)]


def gcd(a, b):
    if a < b:
        return gcd(b, a)
    if b == 0:
        return a
    return gcd(b, a % b)


def lcm(a, b):
    return a * b // gcd(a, b)


n, m = il()
s = input()
t = input()
aa = gcd(n, m)
bb = lcm(n, m)
cc = aa // bb
for i in range(aa):
    if s[n//aa*i] != t[m//aa*i]:
        print(-1)
        exit()
print(bb)
"
s923405856,Python,unknown,"while True:
    n = int(input())

    if n == 0:
        break

    res = -1111111111
    s = 0
    for i in range(n):
        a = int(input())
        s = max(s + a, a)
        res = max(s, res)

    print(res)
"
s534639230,Python,unknown,"from collections import Counter


def solve():
    N = int(input())
    D = list(map(int, input().split()))

    mod = 998244353

    if D[0] != 0:
        print(0)
        return

    cnt = Counter(D)

    if cnt[0] > 1:
        print(0)
        return

    res = 1

    for i in range(1, max(D)+1):
        if cnt[i-1] == 1:
            continue
        res *= cnt[i-1]**cnt[i] % mod
        res %= mod

    print(res)


solve()
"
s817205687,Python,unknown,"from functools import reduce
import math


def lcm(x, y):
    return (x * y) // math.gcd(x, y)


def lcm_list(numbers):
    return reduce(lcm, numbers, 1)


N, M = map(int, input().split())
A = list(map(int, input().split()))


A = [a // 2 for a in A]


count_div_2 = None
for a in A:
    cnt = 0
    while a % 2 == 0:
        a //= 2
        cnt += 1

    if count_div_2 is None:
        count_div_2 = cnt

    elif cnt != count_div_2:
        print(0)
        exit()


my_lcm = lcm_list(A)
if my_lcm > M:
    print(0)
    exit()

tmp = M // my_lcm


ans = (tmp + 1) // 2
print(ans)
"
s287369394,Python,unknown,"N = int(input())
A = [int(x) for x in input().split()]
B = [int(x) for x in input().split()]

ans = 0
for i in range(N):
    d = min(A[i], B[i])
    ans += d
    A[i] -= d
    B[i] -= d
    d = min(A[i + 1], B[i])
    ans += d
    A[i + 1] -= d
    B[i] -= d

print(ans)
"
s058944700,Python,unknown,"import numpy as np

n, k = map(int, input().split())

if n > k:
    tmp = n % k
    if tmp >= k - tmp:
        ans = k - tmp
    else:
        ans = tmp
elif n < k:
    if n >= k - n:
        ans = k - n
    else:
        ans = n
else:
    ans = 0

print(ans)
"
s185068963,Python,unknown,"a, b, c = map(int, input().split())
print(""Yes"" if a + b >= c else ""No"")
"
