id,molecular_weight,logp,num_h_donors,num_h_acceptors,num_rotatable_bonds,num_aromatic_rings,tpsa,num_atoms
mol_0,457.4320000000001,-3.1080199999999985,7,12,7,1,202.31999999999996,32
mol_1,201.22500000000002,2.840320000000001,1,2,2,2,42.24,15
mol_2,152.237,2.878000000000001,0,1,4,0,17.07,11
mol_3,278.354,6.299400000000004,0,0,0,5,0.0,22
mol_4,84.14299999999999,1.7480999999999998,0,1,0,1,0.0,5
mol_5,135.191,2.2962999999999996,0,2,0,2,12.89,9
mol_6,326.437,6.620600000000001,0,0,1,2,0.0,17
mol_7,272.388,3.6092000000000026,2,2,0,1,40.46,20
mol_8,380.913,4.481400000000002,0,1,0,0,12.53,19
mol_9,394.42300000000023,3.7033000000000023,0,6,3,2,63.22,29
mol_10,85.10600000000001,-0.10360000000000008,1,1,0,0,29.1,6
mol_11,162.61899999999997,3.4932000000000016,0,0,0,2,0.0,11
mol_12,70.135,1.9725,0,0,2,0,0.0,5
mol_13,218.256,0.5378999999999994,2,2,2,1,58.2,16
mol_14,198.39399999999995,5.707400000000006,0,0,11,0,0.0,14
mol_15,78.542,1.6336,0,0,0,0,0.0,4
mol_16,88.14999999999999,1.0248,1,1,2,0,20.23,6
mol_17,103.12399999999997,1.5582799999999999,0,1,0,1,23.79,8
mol_18,304.35200000000003,3.5847200000000026,0,6,7,1,53.47,19
mol_19,172.312,3.5079000000000025,1,1,8,0,20.23,12
mol_20,326.437,6.620600000000001,0,0,1,2,0.0,17
mol_21,234.29899999999995,1.5305,1,3,1,1,54.86,17
mol_22,260.38599999999997,3.727700000000003,0,5,8,0,18.46,13
mol_23,179.219,2.0437,1,2,3,1,38.33,13
mol_24,322.243,2.9502000000000006,1,6,5,1,115.54000000000002,22
mol_25,116.204,1.9491,1,1,5,0,20.23,8
mol_26,180.16699999999997,-1.039700000000001,1,5,0,2,72.68,13
mol_27,212.249,0.9389999999999998,2,3,4,0,75.27000000000001,15
mol_28,318.0300000000001,6.187900000000003,0,0,2,2,0.0,18
mol_29,158.24099999999999,2.5199000000000007,0,2,6,0,26.3,11
mol_30,134.22199999999998,2.811400000000001,0,0,2,1,0.0,10
mol_31,288.44,4.506300000000004,0,5,7,0,18.46,15
mol_32,300.314,3.784220000000002,2,4,3,2,76.66,22
mol_33,96.94399999999999,1.9352,0,0,0,0,0.0,4
mol_34,180.25000000000003,3.566220000000002,0,0,0,2,0.0,14
mol_35,86.13399999999999,1.3755,0,1,3,0,17.07,6
mol_36,169.227,3.430200000000002,1,1,2,2,12.03,13
mol_37,253.367,3.2604000000000024,0,3,6,1,29.540000000000003,17
mol_38,353.4900000000001,4.198300000000004,0,5,9,0,38.77,21
mol_39,226.101,3.3918000000000026,0,0,5,0,0.0,8
mol_40,188.657,4.007000000000002,0,0,1,2,0.0,13
mol_41,86.134,0.9449,1,1,3,0,20.23,6
mol_42,168.15200000000002,-0.4773,2,3,0,0,75.27,12
mol_43,156.269,2.439500000000001,1,1,1,0,20.23,11
mol_44,88.106,0.5678,0,2,2,0,26.3,6
mol_45,116.20399999999998,1.9475000000000002,1,1,4,0,20.23,8
mol_46,214.06199999999998,2.4074999999999998,1,1,1,1,29.1,11
mol_47,266.098,1.5771999999999997,1,4,1,2,60.910000000000004,15
mol_48,346.33900000000017,2.1756,1,7,4,1,107.77,25
mol_49,157.216,2.8516400000000006,0,1,0,2,12.89,12
mol_50,110.19999999999999,2.5900000000000007,0,0,4,0,0.0,8
mol_51,236.27099999999993,1.2491999999999999,2,3,2,0,75.27000000000001,17
mol_52,228.29399999999998,5.146200000000003,0,0,0,4,0.0,18
mol_53,261.11899999999997,1.5785200000000001,1,3,2,1,54.86,14
mol_54,360.88200000000006,7.274000000000001,0,0,1,2,0.0,18
mol_55,108.13999999999999,1.70062,1,1,0,1,20.23,8
mol_56,128.259,3.468700000000003,0,0,2,0,0.0,9
mol_57,156.228,3.456640000000002,0,0,0,2,0.0,12
mol_58,242.321,5.454620000000004,0,0,0,4,0.0,19
mol_59,86.13399999999999,1.3755,0,1,2,0,17.07,6
mol_60,429.77200000000016,8.580799999999998,0,0,1,2,0.0,20
mol_61,116.15999999999998,1.3496000000000001,0,2,3,0,26.3,8
mol_62,394.43900000000014,0.6204999999999998,4,6,2,0,115.06000000000002,28
mol_63,109.12799999999999,0.9743999999999999,2,2,0,1,46.25,8
mol_64,260.253,1.1077,1,5,5,2,90.06,19
mol_65,366.84400000000016,5.505100000000005,1,3,2,2,54.37,26
mol_66,229.71499999999997,1.803,1,5,5,1,53.940000000000005,15
mol_67,123.11499999999998,-0.4245000000000001,1,3,1,1,68.87,9
mol_68,237.09699999999998,1.1349999999999998,2,2,3,0,72.19,12
mol_69,223.102,4.660400000000002,0,0,1,2,0.0,14
mol_70,238.15899999999996,0.07349999999999995,1,6,3,1,118.04999999999998,17
mol_71,284.09799999999996,4.693900000000003,0,3,3,2,52.37,18
mol_72,152.237,2.401700000000001,0,1,0,0,17.07,11
mol_73,244.25,0.8664999999999998,2,3,3,1,75.27000000000001,18
mol_74,130.18699999999998,1.7397,0,2,4,0,26.3,9
mol_75,130.18699999999998,1.5956000000000001,0,2,3,0,26.3,9
mol_76,380.444,3.5630000000000024,1,4,8,2,75.71,28
mol_77,257.547,5.313800000000001,0,0,1,2,0.0,15
mol_78,122.993,1.7913000000000001,0,0,1,0,0.0,4
mol_79,342.2260000000001,3.653400000000003,0,5,5,2,49.17,22
mol_80,257.27299999999997,0.8516999999999999,0,6,6,0,55.84,14
mol_81,146.15299999999996,0.7282199999999999,0,4,0,2,51.56,11
mol_82,76.12400000000001,-0.8113000000000001,2,1,0,0,52.04,4
mol_83,106.16799999999999,2.30344,0,0,0,1,0.0,8
mol_84,134.22199999999998,2.811400000000001,0,0,2,1,0.0,10
mol_85,236.74,3.7268,0,0,0,0,0.0,8
mol_86,451.46900000000005,6.627980000000005,0,5,9,3,68.55000000000001,33
mol_87,89.09399999999998,0.6731,0,2,2,0,43.14,6
mol_88,154.253,2.6477000000000013,0,1,1,0,17.07,11
mol_89,273.723,3.458700000000001,1,3,1,2,45.230000000000004,19
mol_90,192.00100000000003,2.901600000000001,0,2,1,1,43.14,11
mol_91,254.35500000000002,1.5159999999999998,2,3,5,0,58.2,17
mol_92,202.25599999999997,4.487200000000002,0,0,0,3,0.0,16
mol_93,102.17699999999998,1.8214000000000001,0,1,3,0,9.23,7
mol_94,156.22799999999998,3.456640000000002,0,0,0,2,0.0,12
mol_95,268.356,4.828600000000005,2,2,4,2,40.46,20
mol_96,265.914,4.043559999999999,0,2,0,1,47.58,14
mol_97,291.992,5.967200000000002,0,0,1,2,0.0,16
mol_98,120.15099999999995,1.7579,0,1,1,1,12.53,9
mol_99,120.19499999999995,2.8100000000000014,0,0,1,1,0.0,9
mol_100,330.4680000000001,3.695900000000003,1,3,2,0,54.370000000000005,24
mol_101,267.93,4.2434,0,2,0,2,25.78,14
mol_102,150.13,-2.5823000000000005,4,5,0,0,90.15,10
mol_103,84.93299999999999,1.4215,0,0,0,0,0.0,3
mol_104,156.22799999999998,3.4022000000000023,0,0,1,2,0.0,12
mol_105,60.05200000000001,-0.2108000000000001,0,2,1,0,26.3,4
mol_106,139.10999999999999,1.3004000000000002,1,3,1,1,63.37,10
mol_107,126.115,-0.6283800000000002,2,2,0,1,65.72,9
mol_108,58.123999999999995,1.6622999999999999,0,0,0,0,0.0,4
mol_109,268.22900000000004,-1.8566000000000003,4,9,2,2,133.75,19
mol_110,370.91499999999996,2.4730799999999995,1,2,0,1,44.019999999999996,11
mol_111,327.1230000000001,3.8595000000000006,2,4,3,2,92.47,21
mol_112,72.151,2.1965000000000003,0,0,2,0,0.0,5
mol_113,94.11299999999999,1.3922,1,1,0,1,20.23,7
mol_114,193.249,3.5752000000000015,1,1,0,3,26.02,15
mol_115,180.16699999999997,-1.0397,1,5,0,2,72.68,13
mol_116,129.16199999999998,2.2348,0,1,0,2,12.89,10
mol_117,367.86,4.331900000000004,0,5,7,1,38.77,21
mol_118,162.276,3.809400000000003,0,0,5,1,0.0,12
mol_119,188.657,4.007000000000002,0,0,1,2,0.0,13
mol_120,84.16199999999999,2.3626000000000005,0,0,2,0,0.0,6
mol_121,114.23199999999999,2.9345000000000017,0,0,2,0,0.0,8
mol_122,250.339,4.9536,0,0,0,1,0.0,11
mol_123,139.10999999999999,1.3003999999999998,1,3,1,1,63.37,10
mol_124,140.26999999999998,3.9230000000000036,0,0,7,0,0.0,10
mol_125,218.20499999999998,0.044299999999999784,0,6,5,0,78.9,15
mol_126,209.29299999999998,1.89922,1,4,4,1,49.25000000000001,15
mol_127,434.29400000000015,6.317080000000003,0,4,6,2,59.32000000000001,29
mol_128,79.10199999999998,1.0816,0,1,0,1,12.89,6
mol_129,179.101,3.351700000000002,0,0,5,0,0.0,8
mol_130,107.15599999999999,1.69844,0,1,0,1,12.89,8
mol_131,380.45600000000013,1.8737,3,5,2,0,94.83,27
mol_132,225.313,2.6579000000000006,1,3,4,1,38.33,15
mol_133,160.16899999999998,0.5027,0,4,4,0,52.60000000000001,11
mol_134,136.238,3.308900000000002,0,0,1,0,0.0,10
mol_135,118.17899999999997,2.1753,0,0,0,1,0.0,9
mol_136,150.22099999999998,2.689700000000001,1,1,0,1,20.23,11
mol_137,154.125,-0.8674000000000002,2,3,0,0,75.27,11
mol_138,238.45499999999998,2.9446000000000003,0,0,0,1,0.0,8
mol_139,207.07,3.6023000000000014,0,0,0,2,0.0,11
mol_140,70.135,1.9725,0,0,1,0,0.0,5
mol_141,107.156,1.69844,0,1,0,1,12.89,8
mol_142,131.389,2.5017000000000005,0,0,0,0,0.0,5
mol_143,143.189,2.4220000000000006,1,1,0,2,26.02,11
mol_144,106.16799999999999,2.30344,0,0,0,1,0.0,8
mol_145,148.125,0.1253999999999998,1,5,0,2,71.79,11
mol_146,32.042,-0.3915,1,1,0,0,20.23,2
mol_147,226.27599999999998,1.1849999999999998,2,3,4,0,75.27000000000001,16
mol_148,72.107,0.9854,0,1,1,0,17.07,5
mol_149,130.078,-0.7977000000000001,2,2,0,1,65.72,9
mol_150,266.257,-1.3750000000000007,4,8,2,2,126.65,19
mol_151,110.11199999999998,1.0977999999999999,2,2,0,1,40.46,8
mol_152,102.17699999999999,1.559,1,1,4,0,20.23,7
mol_153,106.596,2.415400000000001,0,0,3,0,0.0,6
mol_154,54.09199999999999,1.3584,0,0,1,0,0.0,4
mol_155,102.13299999999998,0.9595,0,2,2,0,26.3,7
mol_156,148.205,2.271,1,1,0,1,20.23,11
mol_157,93.513,-0.2895000000000001,1,1,1,0,43.09,5
mol_158,413.0,4.494100000000002,0,4,4,1,27.69,16
mol_159,126.586,2.6484200000000007,0,0,0,1,0.0,8
mol_160,214.29399999999998,0.3714999999999997,1,6,1,1,73.8,14
mol_161,368.3690000000001,6.256760000000005,0,4,6,3,44.760000000000005,26
mol_162,100.16099999999999,1.7656,0,1,4,0,17.07,7
mol_163,193.24599999999998,2.2257,1,3,4,1,52.32,14
mol_164,255.277,2.35452,1,4,0,2,68.45,19
mol_165,154.253,2.6714000000000016,1,1,4,0,20.23,11
mol_166,223.102,4.660400000000002,0,0,1,2,0.0,14
mol_167,408.498,4.343200000000004,1,4,10,2,75.71,30
mol_168,75.067,0.2829999999999999,0,2,1,0,43.14,5
mol_169,333.266,3.9242000000000035,0,5,6,1,89.51999999999998,23
mol_170,215.894,4.3002,0,0,0,1,0.0,10
mol_171,218.25299999999996,0.9834000000000005,2,4,6,0,104.63999999999999,15
mol_172,316.48500000000007,4.515300000000004,1,2,1,0,37.3,23
mol_173,141.939,1.0512000000000001,0,0,0,0,0.0,2
mol_174,281.35200000000003,1.0414999999999999,2,4,3,0,83.47,20
mol_175,394.471,3.9531000000000027,1,4,9,2,75.71,29
mol_176,138.20999999999998,2.3218000000000005,0,1,0,0,17.07,10
mol_177,212.24899999999997,0.7948999999999993,2,3,3,0,75.27000000000001,15
mol_178,142.242,2.935900000000001,0,1,6,0,17.07,10
mol_179,217.268,1.771,1,2,2,1,46.17,16
mol_180,86.178,2.442500000000001,0,0,2,0,0.0,6
mol_181,376.49600000000004,6.372000000000007,0,3,9,3,27.69,28
mol_182,250.30100000000002,3.0025400000000015,0,3,1,3,34.89,19
mol_183,75.498,0.74878,0,1,0,0,23.79,4
mol_184,333.60400000000004,5.391500000000002,0,3,5,1,18.46,17
mol_185,312.45300000000003,3.8826000000000027,1,2,0,0,37.3,23
mol_186,80.08999999999999,0.4765999999999999,0,2,0,1,25.78,6
mol_187,215.894,4.3002,0,0,0,1,0.0,10
mol_188,414.63000000000017,5.508800000000006,1,3,0,0,38.69,30
mol_189,109.12799999999999,0.9743999999999999,2,2,0,1,46.25,8
mol_190,186.295,3.3001000000000023,0,2,8,0,26.3,13
mol_191,279.336,1.8443399999999999,0,4,5,1,55.84,20
mol_192,209.24499999999998,2.192,1,3,3,1,47.56,15
mol_193,92.569,2.0237,0,0,1,0,0.0,5
mol_194,144.17299999999997,2.5454,1,1,0,2,20.23,11
mol_195,345.22600000000017,4.217000000000003,0,5,3,2,57.26,22
mol_196,82.14599999999999,1.8098,0,0,2,0,0.0,6
mol_197,124.22699999999999,2.980100000000002,0,0,5,0,0.0,9
mol_198,126.586,2.6484200000000007,0,0,0,1,0.0,8
mol_199,102.17699999999999,1.8197999999999999,0,1,2,0,9.23,7
mol_200,248.307,1.6838000000000002,2,4,2,2,86.18,17
mol_201,46.073,-0.9205000000000001,2,2,0,0,38.05,3
mol_202,40.065000000000005,0.6395,0,0,0,0,0.0,3
mol_203,298.304,3.2283800000000014,0,6,7,1,63.839999999999996,19
mol_204,281.314,2.3388,1,5,7,0,56.790000000000006,17
mol_205,56.064,0.37129999999999996,0,1,1,0,17.07,4
mol_206,136.114,-0.35380000000000006,2,3,0,2,74.43,10
mol_207,145.161,1.9403999999999997,1,2,0,2,33.120000000000005,11
mol_208,96.10399999999998,1.8256999999999999,0,0,0,1,0.0,7
mol_209,78.542,1.6352,0,0,1,0,0.0,4
mol_210,88.106,0.5694,0,2,1,0,26.3,6
mol_211,100.20499999999998,2.832600000000001,0,0,1,0,0.0,7
mol_212,148.249,3.2287000000000017,0,0,0,1,0.0,11
mol_213,154.253,2.7441000000000013,0,1,0,0,9.23,11
mol_214,314.46600000000007,4.7938000000000045,0,4,15,0,52.60000000000001,22
mol_215,223.102,4.660400000000002,0,0,1,2,0.0,14
mol_216,107.156,1.69844,0,1,0,1,12.89,8
mol_217,150.22099999999998,2.4879000000000007,0,1,1,0,17.07,11
mol_218,342.875,5.420300000000004,0,5,8,1,18.46,18
mol_219,588.5620000000001,1.338599999999999,3,13,5,2,160.83,42
mol_220,252.31599999999997,5.737200000000003,0,0,0,5,0.0,20
mol_221,182.135,1.8114200000000005,0,4,2,1,86.28,13
mol_222,207.07000000000002,3.6023000000000014,0,0,0,2,0.0,11
mol_223,221.26,1.6262,1,3,3,1,53.93,16
mol_224,162.15200000000002,0.42839999999999984,0,5,1,2,60.790000000000006,12
mol_225,266.30400000000003,2.6512200000000004,1,4,1,2,58.120000000000005,20
mol_226,313.747,3.1887000000000016,0,7,7,1,58.4,18
mol_227,68.11900000000001,1.7485,0,0,1,0,0.0,5
mol_228,154.253,2.6698000000000013,1,1,4,0,20.23,11
mol_229,278.335,3.6130200000000023,0,5,5,1,27.69,16
mol_230,100.161,1.3114,1,1,0,0,20.23,7
mol_231,182.17899999999997,-0.06520000000000037,2,3,2,0,75.27000000000001,13
mol_232,290.447,3.959100000000003,1,2,0,0,37.3,21
mol_233,182.172,-3.5854000000000004,6,6,5,0,121.38000000000001,12
mol_234,168.239,3.662020000000002,0,0,1,2,0.0,13
mol_235,215.68800000000002,1.7770999999999997,2,5,4,1,62.730000000000004,14
mol_236,152.22199999999998,1.3421,2,1,1,1,38.05,10
mol_237,114.18799999999999,2.1557000000000004,0,1,4,0,17.07,8
mol_238,100.16099999999999,1.6215,0,1,0,0,17.07,7
mol_239,128.558,2.0456,1,1,0,1,20.23,8
mol_240,98.14500000000001,1.5196,0,1,0,0,17.07,7
mol_241,107.156,1.5772199999999998,1,1,0,1,26.02,8
mol_242,144.388,1.88018,0,1,0,0,23.79,6
mol_243,303.67100000000005,2.9464000000000006,1,4,2,2,46.92,20
mol_244,156.269,3.3260000000000023,0,1,7,0,17.07,11
mol_245,243.74200000000002,2.1914999999999996,1,5,5,1,53.940000000000005,16
mol_246,165.19199999999998,1.4455,1,3,2,1,52.32,12
mol_247,181.449,3.6468000000000007,0,0,0,1,0.0,9
mol_248,343.2170000000001,4.233520000000003,0,4,1,3,43.07,23
mol_249,110.11199999999998,1.0977999999999999,2,2,0,1,40.46,8
mol_250,254.29299999999998,2.2245999999999997,0,4,1,2,49.330000000000005,19
mol_251,62.137,0.9792,0,1,0,0,0.0,3
mol_252,171.03699999999998,2.7575200000000013,0,0,0,1,0.0,8
mol_253,89.09400000000001,0.10160000000000013,1,2,1,0,52.32,6
mol_254,384.5160000000002,4.575300000000004,0,4,2,0,60.440000000000005,28
mol_255,116.20399999999998,1.6593,1,1,2,0,20.23,8
mol_256,128.17399999999995,2.839800000000001,0,0,0,2,0.0,10
mol_257,121.18299999999995,2.1184,1,1,2,1,12.03,9
mol_258,252.27300000000002,1.7695999999999998,2,2,2,2,58.2,19
mol_259,256.348,5.763040000000005,0,0,0,4,0.0,20
mol_260,393.85400000000016,3.878200000000003,0,6,8,1,55.84,23
mol_261,345.6529999999999,5.205900000000002,0,2,4,2,18.46,21
mol_262,381.1120000000001,4.511700000000001,2,2,2,2,58.2,24
mol_263,366.41700000000003,3.172900000000002,1,4,7,2,75.71,27
mol_264,198.653,2.4335000000000004,1,1,1,1,32.34,13
mol_265,301.296,2.492400000000001,1,4,4,3,50.94,22
mol_266,478.51300000000026,1.7620999999999996,2,8,4,0,127.20000000000002,34
mol_267,137.01999999999998,2.1814,0,0,2,0,0.0,5
mol_268,393.69800000000004,4.7366,0,0,0,1,0.0,10
mol_269,100.16099999999999,1.6215,0,1,2,0,17.07,7
mol_270,215.36199999999994,3.5141000000000027,0,2,3,0,20.310000000000002,14
mol_271,142.585,2.3486000000000002,0,1,1,1,9.23,9
mol_272,505.20600000000024,6.490180000000005,0,4,6,2,59.32000000000001,28
mol_273,224.26,0.9609999999999999,2,3,4,0,75.27000000000001,16
mol_274,277.238,2.7993200000000007,0,6,5,1,70.83000000000001,17
mol_275,254.07000000000002,3.4444000000000017,0,0,0,2,0.0,11
mol_276,182.172,-3.5854000000000004,6,6,5,0,121.38000000000001,12
mol_277,62.137,0.9360999999999999,1,1,0,0,0.0,3
mol_278,133.405,2.0289,0,0,1,0,0.0,5
mol_279,245.282,2.2411200000000004,0,4,2,2,47.36000000000001,18
mol_280,137.13799999999998,0.49110000000000004,2,2,1,1,63.32000000000001,10
mol_281,137.138,1.9032200000000001,0,2,1,1,43.14,10
mol_282,212.249,0.6507999999999994,2,3,2,0,75.27000000000001,15
mol_283,120.19499999999996,2.5574200000000005,0,0,1,1,0.0,9
mol_284,134.65,3.1956000000000016,0,0,5,0,0.0,8
mol_285,184.19499999999996,0.15879999999999939,2,3,2,0,75.27000000000001,13
mol_286,182.266,3.4718000000000018,0,0,3,2,0.0,14
mol_287,167.85,2.5938,0,0,1,0,0.0,6
mol_288,283.331,3.122320000000001,1,4,2,2,54.46,21
mol_289,192.261,4.301420000000003,0,0,0,3,0.0,15
mol_290,278.348,3.600400000000003,0,4,8,1,52.60000000000001,20
mol_291,261.919,4.014400000000001,1,2,1,1,29.46,13
mol_292,299.6909999999999,2.3950000000000005,0,5,8,0,65.07000000000001,18
mol_293,268.356,3.7375000000000025,1,2,0,1,37.3,20
mol_294,414.82700000000017,1.1715999999999998,1,8,8,2,127.79,27
mol_295,153.13699999999997,1.6033999999999997,0,3,2,1,52.37,11
mol_296,120.623,2.805500000000001,0,0,4,0,0.0,7
mol_297,429.77200000000016,8.580799999999998,0,0,1,2,0.0,20
mol_298,504.43800000000005,-7.571399999999989,11,16,8,0,268.67999999999995,34
mol_299,366.7180000000002,10.388599999999993,0,0,23,0,0.0,26
mol_300,253.30499999999995,2.829600000000001,0,3,1,2,36.44,19
mol_301,98.96000000000001,1.81,0,0,0,0,0.0,4
mol_302,172.20899999999997,-0.08379999999999999,2,3,1,1,86.18,11
mol_303,309.36600000000004,4.252800000000004,0,5,8,1,89.51999999999998,22
mol_304,290.832,3.644400000000001,0,0,0,0,0.0,12
mol_305,345.4010000000002,3.8896000000000033,1,5,8,1,56.790000000000006,22
mol_306,181.44899999999998,3.6468000000000007,0,0,0,1,0.0,9
mol_307,153.823,2.5529,0,0,0,0,0.0,5
mol_308,192.001,2.901600000000001,0,2,1,1,43.14,11
mol_309,128.215,2.0915999999999997,1,1,0,0,20.23,9
mol_310,302.4580000000001,4.269300000000004,1,2,0,0,37.3,22
mol_311,180.20699999999997,1.5758999999999999,2,2,3,1,64.35,13
mol_312,112.216,2.832600000000001,0,0,0,0,0.0,8
mol_313,180.20999999999998,2.7830000000000004,0,2,0,3,25.78,14
mol_314,88.14999999999999,1.4313,0,1,0,0,9.23,6
mol_315,148.20499999999998,2.728300000000001,0,1,2,1,9.23,11
mol_316,242.44699999999992,5.460000000000006,1,1,14,0,20.23,17
mol_317,112.088,-0.9368000000000001,2,2,0,1,65.72,8
mol_318,135.13,-0.0648999999999999,2,4,0,2,80.47999999999999,10
mol_319,326.437,6.620600000000001,0,0,1,2,0.0,17
mol_320,256.30499999999995,2.1311,1,4,4,2,55.24,19
mol_321,252.31599999999997,5.640400000000003,0,0,0,4,0.0,20
mol_322,212.25199999999998,3.3306000000000013,2,1,2,2,41.13,16
mol_323,232.239,0.7003999999999997,2,3,2,1,75.27000000000001,17
mol_324,257.547,5.313800000000001,0,0,1,2,0.0,15
mol_325,206.289,2.903500000000001,1,1,2,1,32.34,15
mol_326,259.762,2.0904999999999996,0,4,5,1,46.09,16
mol_327,102.17699999999998,1.4149,1,1,2,0,20.23,7
mol_328,130.18699999999998,1.7397,0,2,4,0,26.3,9
mol_329,227.13199999999998,1.7196200000000006,0,6,3,1,129.42000000000002,16
mol_330,397.52400000000006,3.7726000000000024,1,6,10,1,64.63,23
mol_331,98.18900000000001,2.7307000000000015,0,0,0,0,0.0,7
mol_332,88.10599999999998,0.5694,0,2,3,0,26.3,6
mol_333,134.22199999999995,3.118420000000002,0,0,1,1,0.0,10
mol_334,127.574,1.9222,1,1,0,1,26.02,8
mol_335,100.20499999999998,2.6885000000000012,0,0,2,0,0.0,7
mol_336,168.195,3.586000000000002,0,1,0,3,13.14,13
